,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,4276,鈴木勝博,6,14.5%,15.8%,0.0%,5.3%,10.5%,0.16,3.70,,,,,,,,,,
,4594,谷川祐一,1,19.5%,87.0%,56.5%,17.4%,13.0%,0.13,2.80,,,,,,,,,,
,4594,谷川祐一,2,18.6%,59.1%,31.8%,27.3%,0.0%,0.15,2.90,,,,,,,,,,
,4594,谷川祐一,3,14.4%,52.9%,5.9%,35.3%,11.8%,0.13,2.30,,,,,,,,,,
,4594,谷川祐一,4,22.9%,66.7%,25.9%,3.7%,37.0%,0.14,3.10,,,,,,,,,,
,4594,谷川祐一,5,17.8%,38.1%,4.8%,19.0%,14.3%,0.18,2.70,,,,,,,,,,
,4594,谷川祐一,6,6.8%,25.0%,0.0%,0.0%,25.0%,0.18,3.50,,,,,,,,,,
,5038,金田智博,1,17.5%,95.8%,62.5%,20.8%,12.5%,0.17,3.50,,,,,,,,,,
,5038,金田智博,2,18.2%,68.0%,16.0%,32.0%,20.0%,0.17,3.70,,,,,,,,,,
,5038,金田智博,3,16.8%,56.5%,4.3%,39.1%,13.0%,0.18,3.70,,,,,,,,,,
,5038,金田智博,4,19.0%,50.0%,19.2%,15.4%,15.4%,0.12,2.90,,,,,,,,,,
,5038,金田智博,5,15.3%,52.4%,9.5%,23.8%,19.0%,0.16,3.40,,,,,,,,,,
,5038,金田智博,6,13.1%,22.2%,0.0%,5.6%,16.7%,0.22,4.40,,,,,,,,,,
,4073,大橋純一郎,1,17.9%,85.7%,47.6%,28.6%,9.5%,0.15,2.70,,,,,,,,,,
,4073,大橋純一郎,2,16.2%,73.7%,21.1%,15.8%,36.8%,0.16,3.30,,,,,,,,,,
,4073,大橋純一郎,3,16.2%,73.7%,26.3%,26.3%,21.1%,0.16,3.10,,,,,,,,,,
,4073,大橋純一郎,4,16.2%,63.2%,15.8%,26.3%,21.1%,0.17,3.60,,,,,,,,,,
,4073,大橋純一郎,5,16.2%,47.4%,5.3%,0.0%,42.1%,0.19,4.10,,,,,,,,,,
,4073,大橋純一郎,6,17.1%,45.0%,0.0%,20.0%,25.0%,0.21,4.70,,,,,,,,,,
,5280,廣瀬凜,1,19.5%,91.7%,66.7%,12.5%,12.5%,0.17,3.50,,,,,,,,,,
,5280,廣瀬凜,2,16.3%,65.0%,25.0%,20.0%,20.0%,0.14,2.90,,,,,,,,,,
,5280,廣瀬凜,3,13.8%,76.5%,17.6%,17.6%,41.2%,0.16,3.40,,,,,,,,,,
,5280,廣瀬凜,4,19.5%,58.3%,12.5%,16.7%,29.2%,0.16,3.70,,,,,,,,,,
,5280,廣瀬凜,5,15.4%,42.1%,10.5%,10.5%,21.1%,0.17,3.30,,,,,,,,,,
,5280,廣瀬凜,6,15.4%,36.8%,0.0%,10.5%,26.3%,0.21,4.90,,,,,,,,,,
,4319,三宅潤,1,17.4%,92.0%,60.0%,28.0%,4.0%,0.16,2.90,,,,,,,,,,
,4319,三宅潤,2,20.8%,70.0%,13.3%,36.7%,20.0%,0.16,3.80,,,,,,,,,,
,4319,三宅潤,3,16.0%,60.9%,4.3%,30.4%,26.1%,0.15,3.10,,,,,,,,,,
,4319,三宅潤,4,13.9%,65.0%,25.0%,15.0%,25.0%,0.16,3.20,,,,,,,,,,
,4319,三宅潤,5,19.4%,46.4%,3.6%,17.9%,25.0%,0.20,4.00,,,,,,,,,,
,4319,三宅潤,6,12.5%,22.2%,0.0%,11.1%,11.1%,0.22,5.10,,,,,,,,,,
,4495,森晋太郎,1,15.2%,76.5%,58.8%,17.6%,0.0%,0.12,2.00,,,,,,,,,,
,4495,森晋太郎,2,16.1%,77.8%,22.2%,44.4%,11.1%,0.13,2.10,,,,,,,,,,
,4495,森晋太郎,3,16.1%,55.6%,5.6%,16.7%,33.3%,0.12,2.60,,,,,,,,,,
,4495,森晋太郎,4,18.8%,61.9%,33.3%,19.0%,9.5%,0.12,2.30,,,,,,,,,,
,4495,森晋太郎,5,19.6%,50.0%,18.2%,22.7%,9.1%,0.14,2.40,,,,,,,,,,
,4495,森晋太郎,6,14.3%,37.5%,18.8%,6.2%,12.5%,0.12,2.30,,,,,,,,,,
,5205,刑部亜里紗,1,19.1%,81.8%,72.7%,4.5%,4.5%,0.15,3.20,,,,,,,,,,
,5205,刑部亜里紗,2,18.3%,71.4%,19.0%,38.1%,14.3%,0.18,4.20,,,,,,,,,,
,5205,刑部亜里紗,3,12.2%,64.3%,7.1%,42.9%,14.3%,0.16,4.20,,,,,,,,,,
,5205,刑部亜里紗,4,17.4%,50.0%,5.0%,25.0%,20.0%,0.21,4.60,,,,,,,,,,
,5205,刑部亜里紗,5,16.5%,47.4%,0.0%,26.3%,21.1%,0.20,4.50,,,,,,,,,,
,5205,刑部亜里紗,6,16.5%,31.6%,0.0%,5.3%,26.3%,0.21,5.10,,,,,,,,,,
,3788,一宮稔弘,1,15.8%,87.5%,75.0%,6.2%,6.2%,0.12,2.30,,,,,,,,,,
,3788,一宮稔弘,2,16.8%,58.8%,29.4%,17.6%,11.8%,0.14,2.20,,,,,,,,,,
,3788,一宮稔弘,3,16.8%,76.5%,5.9%,35.3%,35.3%,0.12,2.50,,,,,,,,,,
,3788,一宮稔弘,4,17.8%,55.6%,22.2%,27.8%,5.6%,0.11,2.40,,,,,,,,,,
,3788,一宮稔弘,5,19.8%,55.0%,10.0%,30.0%,15.0%,0.08,1.70,,,,,,,,,,
,3788,一宮稔弘,6,12.9%,38.5%,0.0%,23.1%,15.4%,0.15,2.50,,,,,,,,,,
,4189,川上剛,1,16.4%,96.0%,68.0%,16.0%,12.0%,0.15,3.20,,,,,,,,,,
,4189,川上剛,2,17.8%,66.7%,11.1%,37.0%,18.5%,0.13,3.10,,,,,,,,,,
,4189,川上剛,3,19.1%,55.2%,13.8%,13.8%,27.6%,0.16,3.20,,,,,,,,,,
,4189,川上剛,4,24.3%,64.9%,8.1%,24.3%,32.4%,0.15,3.00,,,,,,,,,,
,4189,川上剛,5,13.8%,23.8%,0.0%,4.8%,19.0%,0.15,3.30,,,,,,,,,,
,4189,川上剛,6,8.6%,46.2%,0.0%,23.1%,23.1%,0.17,3.50,,,,,,,,,,
,4650,中山雄太,1,18.0%,87.5%,79.2%,0.0%,8.3%,0.12,2.00,,,,,,,,,,
,4650,中山雄太,2,18.0%,79.2%,20.8%,41.7%,16.7%,0.12,2.10,,,,,,,,,,
,4650,中山雄太,3,17.3%,52.2%,21.7%,21.7%,8.7%,0.16,3.00,,,,,,,,,,
,4650,中山雄太,4,18.8%,52.0%,12.0%,12.0%,28.0%,0.12,2.50,,,,,,,,,,
,4650,中山雄太,5,16.5%,45.5%,0.0%,27.3%,18.2%,0.13,2.90,,,,,,,,,,
,4650,中山雄太,6,11.3%,13.3%,0.0%,0.0%,13.3%,0.17,3.50,,,,,,,,,,
,4927,関野文,1,19.5%,79.2%,37.5%,33.3%,8.3%,0.17,3.10,,,,,,,,,,
,4927,関野文,2,19.5%,54.2%,29.2%,16.7%,8.3%,0.16,3.70,,,,,,,,,,
,4927,関野文,3,17.9%,59.1%,18.2%,31.8%,9.1%,0.16,2.90,,,,,,,,,,
,4927,関野文,4,13.8%,58.8%,17.6%,29.4%,11.8%,0.14,2.90,,,,,,,,,,
,4927,関野文,5,17.1%,42.9%,4.8%,19.0%,19.0%,0.15,3.00,,,,,,,,,,
,4927,関野文,6,12.2%,20.0%,0.0%,0.0%,20.0%,0.19,4.10,,,,,,,,,,
,5229,吉川晴人,1,17.0%,95.7%,73.9%,8.7%,13.0%,0.16,3.20,,,,,,,,,,
,5229,吉川晴人,2,15.6%,61.9%,14.3%,33.3%,14.3%,0.15,3.50,,,,,,,,,,
,5229,吉川晴人,3,16.3%,72.7%,18.2%,31.8%,22.7%,0.15,2.50,,,,,,,,,,
,5229,吉川晴人,4,18.5%,48.0%,8.0%,16.0%,24.0%,0.16,3.50,,,,,,,,,,
,5229,吉川晴人,5,18.5%,48.0%,8.0%,16.0%,24.0%,0.12,2.30,,,,,,,,,,
,5229,吉川晴人,6,14.1%,31.6%,10.5%,15.8%,5.3%,0.16,3.60,,,,,,,,,,
,3611,岩崎芳美,1,21.8%,86.4%,45.5%,36.4%,4.5%,0.15,3.00,,,,,,,,,,
,3611,岩崎芳美,2,15.8%,56.2%,12.5%,31.2%,12.5%,0.15,3.40,,,,,,,,,,
,3611,岩崎芳美,3,17.8%,61.1%,11.1%,44.4%,5.6%,0.14,2.80,,,,,,,,,,
,3611,岩崎芳美,4,15.8%,50.0%,0.0%,25.0%,25.0%,0.13,2.80,,,,,,,,,,
,3611,岩崎芳美,5,17.8%,38.9%,5.6%,0.0%,33.3%,0.14,3.10,,,,,,,,,,
,3611,岩崎芳美,6,10.9%,36.4%,0.0%,9.1%,27.3%,0.14,3.50,,,,,,,,,,
,4263,武重雄介,1,24.6%,87.5%,68.8%,12.5%,6.2%,0.15,2.30,,,,,,,,,,
,4263,武重雄介,2,11.5%,73.3%,33.3%,13.3%,26.7%,0.18,2.80,,,,,,,,,,
,4263,武重雄介,3,16.9%,54.5%,18.2%,22.7%,13.6%,0.14,3.10,,,,,,,,,,
,4263,武重雄介,4,16.9%,40.9%,9.1%,18.2%,13.6%,0.15,2.80,,,,,,,,,,
,4263,武重雄介,5,13.8%,55.6%,0.0%,33.3%,22.2%,0.17,3.60,,,,,,,,,,
,4263,武重雄介,6,16.2%,14.3%,0.0%,14.3%,0.0%,0.20,4.80,,,,,,,,,,
,4372,原田佑実,1,17.9%,86.7%,66.7%,13.3%,6.7%,0.18,3.20,,,,,,,,,,
,4372,原田佑実,2,19.0%,87.5%,25.0%,25.0%,37.5%,0.17,3.60,,,,,,,,,,
,4372,原田佑実,3,15.5%,53.8%,15.4%,23.1%,15.4%,0.20,3.80,,,,,,,,,,
,4372,原田佑実,4,17.9%,60.0%,6.7%,13.3%,40.0%,0.15,3.90,,,,,,,,,,
,4372,原田佑実,5,13.1%,36.4%,9.1%,27.3%,0.0%,0.15,2.60,,,,,,,,,,
,4372,原田佑実,6,16.7%,42.9%,0.0%,7.1%,35.7%,0.19,3.90,,,,,,,,,,
,4738,清埜翔子,1,21.3%,92.6%,70.4%,11.1%,11.1%,0.15,2.50,,,,,,,,,,
,4738,清埜翔子,2,15.7%,50.0%,25.0%,15.0%,10.0%,0.18,3.30,,,,,,,,,,
,4738,清埜翔子,3,20.5%,65.4%,7.7%,42.3%,15.4%,0.17,3.30,,,,,,,,,,
,4738,清埜翔子,4,17.3%,54.5%,4.5%,27.3%,22.7%,0.16,3.10,,,,,,,,,,
,4738,清埜翔子,5,15.7%,35.0%,10.0%,15.0%,10.0%,0.15,3.10,,,,,,,,,,
,4738,清埜翔子,6,9.4%,25.0%,0.0%,0.0%,25.0%,0.16,4.00,,,,,,,,,,
,4775,千葉真弥,1,19.8%,94.1%,76.5%,11.8%,5.9%,0.15,2.10,,,,,,,,,,
,4775,千葉真弥,2,17.4%,66.7%,13.3%,33.3%,20.0%,0.14,2.50,,,,,,,,,,
,4775,千葉真弥,3,15.1%,46.2%,23.1%,15.4%,7.7%,0.11,2.10,,,,,,,,,,
,4775,千葉真弥,4,16.3%,64.3%,0.0%,35.7%,28.6%,0.15,2.80,,,,,,,,,,
,4775,千葉真弥,5,17.4%,40.0%,6.7%,26.7%,6.7%,0.16,3.10,,,,,,,,,,
,4775,千葉真弥,6,14.0%,25.0%,8.3%,8.3%,8.3%,0.19,4.10,,,,,,,,,,
,4797,中山将,1,18.4%,82.6%,73.9%,0.0%,8.7%,0.15,3.00,,,,,,,,,,
,4797,中山将,2,17.6%,77.3%,27.3%,31.8%,18.2%,0.15,3.50,,,,,,,,,,
,4797,中山将,3,13.6%,58.8%,17.6%,17.6%,23.5%,0.15,3.10,,,,,,,,,,
,4797,中山将,4,16.8%,57.1%,14.3%,23.8%,19.0%,0.16,2.60,,,,,,,,,,
,4797,中山将,5,16.8%,47.6%,4.8%,19.0%,23.8%,0.14,2.80,,,,,,,,,,
,4797,中山将,6,16.8%,23.8%,4.8%,4.8%,14.3%,0.15,4.20,,,,,,,,,,
,3514,山一鉄也,1,17.6%,88.9%,72.2%,16.7%,0.0%,0.14,2.50,,,,,,,,,,
,3514,山一鉄也,2,15.7%,75.0%,25.0%,37.5%,12.5%,0.17,3.10,,,,,,,,,,
,3514,山一鉄也,3,19.6%,65.0%,15.0%,35.0%,15.0%,0.17,3.30,,,,,,,,,,
,3514,山一鉄也,4,14.7%,20.0%,6.7%,6.7%,6.7%,0.15,3.60,,,,,,,,,,
,3514,山一鉄也,5,19.6%,40.0%,10.0%,20.0%,10.0%,0.16,3.50,,,,,,,,,,
,3514,山一鉄也,6,12.7%,30.8%,0.0%,15.4%,15.4%,0.20,4.30,,,,,,,,,,
,4394,永嶋裕一,1,16.1%,85.7%,64.3%,7.1%,14.3%,0.15,2.40,,,,,,,,,,
,4394,永嶋裕一,2,19.5%,82.4%,11.8%,17.6%,52.9%,0.16,3.40,,,,,,,,,,
,4394,永嶋裕一,3,14.9%,69.2%,23.1%,23.1%,23.1%,0.12,2.80,,,,,,,,,,
,4394,永嶋裕一,4,20.7%,61.1%,22.2%,0.0%,38.9%,0.15,2.30,,,,,,,,,,
,4394,永嶋裕一,5,17.2%,33.3%,0.0%,13.3%,20.0%,0.14,2.90,,,,,,,,,,
,4394,永嶋裕一,6,11.5%,50.0%,0.0%,0.0%,50.0%,0.12,3.70,,,,,,,,,,
,4930,佐藤悠,1,12.7%,86.7%,53.3%,20.0%,13.3%,0.13,2.70,,,,,,,,,,
,4930,佐藤悠,2,16.9%,70.0%,20.0%,30.0%,20.0%,0.15,3.60,,,,,,,,,,
,4930,佐藤悠,3,18.6%,63.6%,18.2%,27.3%,18.2%,0.16,2.80,,,,,,,,,,
,4930,佐藤悠,4,17.8%,61.9%,19.0%,33.3%,9.5%,0.11,2.30,,,,,,,,,,
,4930,佐藤悠,5,14.4%,58.8%,17.6%,11.8%,29.4%,0.13,2.80,,,,,,,,,,
,4930,佐藤悠,6,19.5%,30.4%,4.3%,8.7%,17.4%,0.17,3.40,,,,,,,,,,
,3327,野長瀬正孝,1,22.2%,72.7%,50.0%,9.1%,13.6%,0.14,2.60,,,,,,,,,,
,3327,野長瀬正孝,2,21.2%,66.7%,9.5%,33.3%,23.8%,0.15,2.60,,,,,,,,,,
,3327,野長瀬正孝,3,14.1%,42.9%,7.1%,14.3%,21.4%,0.18,3.40,,,,,,,,,,
,3327,野長瀬正孝,4,32.3%,75.0%,21.9%,18.8%,34.4%,0.17,3.20,,,,,,,,,,
,3327,野長瀬正孝,5,6.1%,0.0%,0.0%,0.0%,0.0%,0.18,4.20,,,,,,,,,,
,3327,野長瀬正孝,6,4.0%,25.0%,0.0%,0.0%,25.0%,0.27,5.50,,,,,,,,,,
,4289,落合直子,1,20.5%,91.3%,82.6%,4.3%,4.3%,0.12,1.60,,,,,,,,,,
,4289,落合直子,2,16.1%,61.1%,16.7%,22.2%,22.2%,0.18,3.40,,,,,,,,,,
,4289,落合直子,3,19.6%,59.1%,18.2%,27.3%,13.6%,0.14,2.90,,,,,,,,,,
,4289,落合直子,4,13.4%,60.0%,20.0%,20.0%,20.0%,0.12,2.90,,,,,,,,,,
,4289,落合直子,5,17.9%,30.0%,0.0%,5.0%,25.0%,0.13,2.20,,,,,,,,,,
,4289,落合直子,6,12.5%,42.9%,7.1%,14.3%,21.4%,0.19,2.90,,,,,,,,,,
,4608,荒井翔伍,1,17.4%,79.2%,45.8%,16.7%,16.7%,0.13,2.30,,,,,,,,,,
,4608,荒井翔伍,2,14.5%,80.0%,10.0%,55.0%,15.0%,0.17,3.10,,,,,,,,,,
,4608,荒井翔伍,3,19.6%,74.1%,18.5%,29.6%,25.9%,0.18,3.20,,,,,,,,,,
,4608,荒井翔伍,4,18.8%,61.5%,11.5%,23.1%,26.9%,0.15,2.40,,,,,,,,,,
,4608,荒井翔伍,5,14.5%,35.0%,0.0%,15.0%,20.0%,0.14,3.40,,,,,,,,,,
,4608,荒井翔伍,6,15.2%,33.3%,0.0%,4.8%,28.6%,0.18,4.00,,,,,,,,,,
,4640,山ノ内雅人,1,19.0%,92.6%,55.6%,33.3%,3.7%,0.14,2.70,,,,,,,,,,
,4640,山ノ内雅人,2,17.6%,64.0%,16.0%,16.0%,32.0%,0.16,3.70,,,,,,,,,,
,4640,山ノ内雅人,3,16.9%,66.7%,16.7%,20.8%,29.2%,0.15,3.50,,,,,,,,,,
,4640,山ノ内雅人,4,16.2%,65.2%,17.4%,30.4%,17.4%,0.15,3.00,,,,,,,,,,
,4640,山ノ内雅人,5,19.7%,50.0%,10.7%,7.1%,32.1%,0.14,3.00,,,,,,,,,,
,4640,山ノ内雅人,6,10.6%,20.0%,0.0%,13.3%,6.7%,0.14,3.00,,,,,,,,,,
,5141,大澤風葵,1,19.0%,91.7%,79.2%,8.3%,4.2%,0.13,2.80,,,,,,,,,,
,5141,大澤風葵,2,19.0%,66.7%,16.7%,33.3%,16.7%,0.12,2.50,,,,,,,,,,
,5141,大澤風葵,3,16.7%,52.4%,14.3%,9.5%,28.6%,0.11,2.80,,,,,,,,,,
,5141,大澤風葵,4,14.3%,50.0%,5.6%,33.3%,11.1%,0.12,2.30,,,,,,,,,,
,5141,大澤風葵,5,18.3%,43.5%,17.4%,8.7%,17.4%,0.11,2.20,,,,,,,,,,
,5141,大澤風葵,6,12.7%,50.0%,0.0%,12.5%,37.5%,0.12,3.10,,,,,,,,,,
,3811,石田章央,1,21.4%,90.3%,58.1%,25.8%,6.5%,0.16,3.20,,,,,,,,,,
,3811,石田章央,2,17.9%,76.9%,7.7%,42.3%,26.9%,0.14,2.80,,,,,,,,,,
,3811,石田章央,3,13.8%,55.0%,15.0%,25.0%,15.0%,0.15,2.70,,,,,,,,,,
,3811,石田章央,4,12.4%,72.2%,11.1%,33.3%,27.8%,0.14,2.60,,,,,,,,,,
,3811,石田章央,5,20.7%,43.3%,6.7%,26.7%,10.0%,0.15,3.20,,,,,,,,,,
,3811,石田章央,6,13.8%,15.0%,0.0%,5.0%,10.0%,0.18,4.20,,,,,,,,,,
,3951,石川吉鎬,1,18.8%,96.2%,46.2%,26.9%,23.1%,0.18,3.30,,,,,,,,,,
,3951,石川吉鎬,2,15.2%,66.7%,23.8%,23.8%,19.0%,0.18,3.40,,,,,,,,,,
,3951,石川吉鎬,3,16.7%,73.9%,17.4%,30.4%,26.1%,0.17,3.30,,,,,,,,,,
,3951,石川吉鎬,4,15.9%,45.5%,13.6%,18.2%,13.6%,0.18,3.40,,,,,,,,,,
,3951,石川吉鎬,5,23.2%,43.8%,6.2%,18.8%,18.8%,0.18,3.30,,,,,,,,,,
,3951,石川吉鎬,6,10.1%,14.3%,0.0%,0.0%,14.3%,0.18,4.20,,,,,,,,,,
,4331,三好勇人,1,14.4%,93.8%,81.2%,6.2%,6.2%,0.16,2.50,,,,,,,,,,
,4331,三好勇人,2,18.9%,61.9%,28.6%,4.8%,28.6%,0.13,2.40,,,,,,,,,,
,4331,三好勇人,3,19.8%,63.6%,9.1%,18.2%,36.4%,0.15,3.00,,,,,,,,,,
,4331,三好勇人,4,21.6%,62.5%,16.7%,20.8%,25.0%,0.14,2.60,,,,,,,,,,
,4331,三好勇人,5,16.2%,44.4%,11.1%,0.0%,33.3%,0.15,3.10,,,,,,,,,,
,4331,三好勇人,6,9.0%,20.0%,10.0%,10.0%,0.0%,0.19,4.20,,,,,,,,,,
,4388,是澤孝宏,1,17.5%,81.0%,61.9%,14.3%,4.8%,0.15,3.20,,,,,,,,,,
,4388,是澤孝宏,2,19.2%,65.2%,13.0%,26.1%,26.1%,0.19,3.90,,,,,,,,,,
,4388,是澤孝宏,3,16.7%,65.0%,15.0%,40.0%,10.0%,0.16,3.60,,,,,,,,,,
,4388,是澤孝宏,4,15.8%,52.6%,0.0%,47.4%,5.3%,0.20,3.90,,,,,,,,,,
,4388,是澤孝宏,5,15.8%,47.4%,10.5%,26.3%,10.5%,0.18,3.50,,,,,,,,,,
,4388,是澤孝宏,6,15.0%,38.9%,5.6%,11.1%,22.2%,0.20,4.40,,,,,,,,,,
,4086,寺本重宣,1,20.5%,78.3%,43.5%,21.7%,13.0%,0.13,2.60,,,,,,,,,,
,4086,寺本重宣,2,14.3%,62.5%,18.8%,25.0%,18.8%,0.14,3.80,,,,,,,,,,
,4086,寺本重宣,3,21.4%,66.7%,12.5%,29.2%,25.0%,0.15,2.50,,,,,,,,,,
,4086,寺本重宣,4,15.2%,64.7%,17.6%,29.4%,17.6%,0.13,3.30,,,,,,,,,,
,4086,寺本重宣,5,17.0%,52.6%,0.0%,15.8%,36.8%,0.15,3.40,,,,,,,,,,
,4086,寺本重宣,6,11.6%,23.1%,7.7%,0.0%,15.4%,0.16,4.10,,,,,,,,,,
,4515,藤田浩人,1,18.8%,96.2%,65.4%,23.1%,7.7%,0.14,2.80,,,,,,,,,,
,4515,藤田浩人,2,15.9%,68.2%,18.2%,27.3%,22.7%,0.18,3.60,,,,,,,,,,
,4515,藤田浩人,3,21.7%,66.7%,23.3%,20.0%,23.3%,0.16,3.60,,,,,,,,,,
,4515,藤田浩人,4,11.6%,56.2%,0.0%,37.5%,18.8%,0.16,3.60,,,,,,,,,,
,4515,藤田浩人,5,13.0%,33.3%,5.6%,11.1%,16.7%,0.16,4.00,,,,,,,,,,
,4515,藤田浩人,6,18.8%,15.4%,0.0%,3.8%,11.5%,0.19,4.30,,,,,,,,,,
,4822,百武翔,1,20.1%,96.6%,55.2%,34.5%,6.9%,0.12,2.20,,,,,,,,,,
,4822,百武翔,2,16.0%,65.2%,21.7%,34.8%,8.7%,0.15,3.70,,,,,,,,,,
,4822,百武翔,3,16.7%,58.3%,12.5%,20.8%,25.0%,0.18,3.60,,,,,,,,,,
,4822,百武翔,4,18.1%,50.0%,7.7%,23.1%,19.2%,0.17,3.70,,,,,,,,,,
,4822,百武翔,5,15.3%,40.9%,0.0%,13.6%,27.3%,0.19,4.00,,,,,,,,,,
,4822,百武翔,6,13.9%,35.0%,0.0%,5.0%,30.0%,0.21,5.40,,,,,,,,,,
,3984,坂口周,1,22.8%,92.3%,65.4%,26.9%,0.0%,0.14,2.90,,,,,,,,,,
,3984,坂口周,2,14.9%,76.5%,5.9%,23.5%,47.1%,0.16,3.70,,,,,,,,,,
,3984,坂口周,3,17.5%,45.0%,30.0%,5.0%,10.0%,0.18,4.00,,,,,,,,,,
,3984,坂口周,4,13.2%,53.3%,6.7%,20.0%,26.7%,0.17,4.10,,,,,,,,,,
,3984,坂口周,5,15.8%,38.9%,5.6%,11.1%,22.2%,0.17,3.30,,,,,,,,,,
,3984,坂口周,6,15.8%,27.8%,5.6%,5.6%,16.7%,0.19,4.70,,,,,,,,,,
,4052,興津藍,1,20.2%,95.8%,79.2%,12.5%,4.2%,0.17,3.00,,,,,,,,,,
,4052,興津藍,2,17.6%,57.1%,19.0%,33.3%,4.8%,0.16,3.00,,,,,,,,,,
,4052,興津藍,3,15.1%,61.1%,33.3%,5.6%,22.2%,0.16,2.90,,,,,,,,,,
,4052,興津藍,4,16.0%,42.1%,0.0%,15.8%,26.3%,0.17,3.30,,,,,,,,,,
,4052,興津藍,5,16.0%,42.1%,0.0%,15.8%,26.3%,0.16,3.60,,,,,,,,,,
,4052,興津藍,6,15.1%,38.9%,5.6%,5.6%,27.8%,0.14,3.60,,,,,,,,,,
,4347,魚谷香織,1,19.6%,85.7%,47.6%,28.6%,9.5%,0.16,3.60,,,,,,,,,,
,4347,魚谷香織,2,15.9%,76.5%,0.0%,47.1%,29.4%,0.17,3.60,,,,,,,,,,
,4347,魚谷香織,3,16.8%,83.3%,16.7%,50.0%,16.7%,0.17,3.10,,,,,,,,,,
,4347,魚谷香織,4,17.8%,57.9%,5.3%,26.3%,26.3%,0.20,4.10,,,,,,,,,,
,4347,魚谷香織,5,13.1%,42.9%,0.0%,28.6%,14.3%,0.20,4.20,,,,,,,,,,
,4347,魚谷香織,6,16.8%,22.2%,0.0%,0.0%,22.2%,0.16,3.60,,,,,,,,,,
,4572,渡部悟,1,20.5%,82.4%,47.1%,17.6%,17.6%,0.13,2.30,,,,,,,,,,
,4572,渡部悟,2,15.7%,84.6%,15.4%,46.2%,23.1%,0.15,3.20,,,,,,,,,,
,4572,渡部悟,3,14.5%,58.3%,33.3%,8.3%,16.7%,0.15,2.40,,,,,,,,,,
,4572,渡部悟,4,16.9%,50.0%,7.1%,21.4%,21.4%,0.13,2.30,,,,,,,,,,
,4572,渡部悟,5,16.9%,57.1%,0.0%,21.4%,35.7%,0.15,3.30,,,,,,,,,,
,4572,渡部悟,6,15.7%,38.5%,0.0%,23.1%,15.4%,0.15,3.80,,,,,,,,,,
,4769,馬場剛,1,15.3%,95.7%,56.5%,26.1%,13.0%,0.10,1.70,,,,,,,,,,
,4769,馬場剛,2,18.7%,60.7%,17.9%,25.0%,17.9%,0.13,2.80,,,,,,,,,,
,4769,馬場剛,3,16.7%,52.0%,28.0%,12.0%,12.0%,0.12,1.70,,,,,,,,,,
,4769,馬場剛,4,18.0%,66.7%,22.2%,25.9%,18.5%,0.12,2.20,,,,,,,,,,
,4769,馬場剛,5,16.0%,45.8%,4.2%,12.5%,29.2%,0.12,2.50,,,,,,,,,,
,4769,馬場剛,6,15.3%,43.5%,4.3%,4.3%,34.8%,0.12,2.40,,,,,,,,,,
,5029,中亮太,1,18.7%,100.0%,60.9%,34.8%,4.3%,0.13,2.50,,,,,,,,,,
,5029,中亮太,2,15.4%,63.2%,31.6%,26.3%,5.3%,0.13,2.40,,,,,,,,,,
,5029,中亮太,3,16.3%,65.0%,25.0%,20.0%,20.0%,0.14,3.00,,,,,,,,,,
,5029,中亮太,4,17.9%,36.4%,13.6%,13.6%,9.1%,0.13,2.30,,,,,,,,,,
,5029,中亮太,5,18.7%,26.1%,4.3%,4.3%,17.4%,0.12,3.00,,,,,,,,,,
,5029,中亮太,6,13.0%,37.5%,0.0%,25.0%,12.5%,0.17,3.60,,,,,,,,,,
,5218,山田理央,1,19.6%,88.9%,66.7%,11.1%,11.1%,0.19,2.60,,,,,,,,,,
,5218,山田理央,2,15.2%,64.3%,21.4%,35.7%,7.1%,0.12,2.40,,,,,,,,,,
,5218,山田理央,3,18.5%,47.1%,17.6%,17.6%,11.8%,0.14,2.10,,,,,,,,,,
,5218,山田理央,4,16.3%,80.0%,20.0%,20.0%,40.0%,0.16,2.40,,,,,,,,,,
,5218,山田理央,5,15.2%,21.4%,0.0%,7.1%,14.3%,0.15,3.10,,,,,,,,,,
,5218,山田理央,6,15.2%,50.0%,7.1%,21.4%,21.4%,0.13,3.30,,,,,,,,,,
,5222,津田陸翔,1,20.8%,80.8%,57.7%,3.8%,19.2%,0.18,3.60,,,,,,,,,,
,5222,津田陸翔,2,20.8%,53.8%,15.4%,19.2%,19.2%,0.17,3.80,,,,,,,,,,
,5222,津田陸翔,3,12.8%,68.8%,12.5%,43.8%,12.5%,0.15,3.10,,,,,,,,,,
,5222,津田陸翔,4,13.6%,76.5%,17.6%,0.0%,58.8%,0.13,3.20,,,,,,,,,,
,5222,津田陸翔,5,20.0%,60.0%,0.0%,32.0%,28.0%,0.15,3.10,,,,,,,,,,
,5222,津田陸翔,6,12.0%,33.3%,0.0%,20.0%,13.3%,0.18,4.20,,,,,,,,,,
,3686,鳥居塚孝博,1,18.9%,87.5%,50.0%,29.2%,8.3%,0.12,1.70,,,,,,,,,,
,3686,鳥居塚孝博,2,17.3%,68.2%,4.5%,36.4%,27.3%,0.14,3.00,,,,,,,,,,
,3686,鳥居塚孝博,3,15.7%,65.0%,15.0%,45.0%,5.0%,0.14,2.70,,,,,,,,,,
