,,,,,,,,,,,,,,,,,,,,,
,日付,レース,枠番,登録番号,全国勝率,全国2連,全国3連,当地勝率,当地2連,当地3連,モーター2連,モーター3連,コース1_平均着順,コース2_平均着順,コース3_平均着順,コース4_平均着順,コース5_平均着順,コース6_平均着順,展示タイム,着順,3連単払戻金
,20260214,7,2,4589,4.94,33.33,41.67,0.0,0.0,0.0,21.6,35.8,1.0,3.0,5.0,4.0,5.33,,6.73,沈,"¥2,100"
,20260214,7,3,4992,4.07,25.88,31.76,3.83,16.67,33.33,33.33,47.95,1.0,3.0,6.0,,4.0,6.0,6.82,5,"¥2,100"
,20260214,7,4,3769,5.17,25.0,54.55,0.0,0.0,0.0,33.14,53.49,4.0,3.0,4.0,2.0,3.0,4.0,6.90,4,"¥2,100"
,20260214,7,5,4895,5.55,36.47,54.12,4.11,11.11,22.22,44.25,62.64,1.0,4.0,2.5,,3.0,,6.77,3,"¥2,100"
,20260214,7,6,4050,7.07,58.7,69.57,6.45,50.0,65.0,41.14,56.0,1.0,3.0,6.0,3.0,1.0,4.0,6.77,2,"¥2,100"
,20260214,8,1,4521,4.92,31.94,44.44,5.65,35.29,58.82,36.93,59.09,1.0,2.0,2.0,5.0,5.0,5.0,6.73,1,"¥3,080"
,20260214,8,2,5296,3.79,19.18,31.51,3.75,14.29,28.57,26.9,42.11,4.0,1.0,5.0,5.0,,5.33,6.68,5,"¥3,080"
,20260214,8,3,4390,3.96,16.67,29.49,0.0,0.0,0.0,32.95,51.45,1.0,4.0,3.0,3.0,2.5,6.0,6.76,6,"¥3,080"
,20260214,8,4,4700,6.6,50.77,75.38,7.67,66.67,100.0,29.07,51.74,1.0,2.0,2.0,4.0,4.5,6.0,6.78,3,"¥3,080"
,20260214,8,5,5264,4.84,24.1,49.4,4.12,20.77,32.31,28.9,42.77,4.0,3.0,5.0,3.0,1.0,5.0,6.74,2,"¥3,080"
,20260214,8,6,4467,6.5,47.32,68.75,3.14,14.29,14.29,35.59,49.72,2.0,3.0,4.0,4.5,6.0,5.0,6.78,4,"¥3,080"
,20260214,9,1,4654,6.14,43.52,62.04,6.51,50.49,71.84,35.63,50.0,3.0,5.0,2.0,5.5,3.0,4.0,6.78,1,"¥1,770"
